ko_checklist,Knowledge Object Sync(KOS),https://splunkbase.splunk.com/app/6536/,2.0.2#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;2.0.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|;2.0.0#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;2.0.3#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|
TA-cyberhaven-app,Cyberhaven Splunk application,https://splunkbase.splunk.com/app/6510/,2.0.11#8.1|8.2|9.0|9.1|;2.0.10#8.1|8.2|9.0|9.1|;2.0.9#8.1|8.2|9.0|9.1|;2.0.14#8.1|8.2|9.0|9.1|;2.0.13#8.1|8.2|9.0|9.1|;2.0.12#8.1|8.2|9.0|9.1|;2.0.18#8.1|8.2|9.0|9.1|;2.0.17#8.1|8.2|9.0|9.1|;2.0.16#8.1|8.2|9.0|9.1|;2.0.19#8.1|8.2|9.0|9.1|;2.0.24#8.1|8.2|9.0|9.1|
TA-add-on-for-apple-unified-logging,Add-on for Apple Unified Logging,https://splunkbase.splunk.com/app/6561/,1.0.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.0.0#9.0|9.1|
TA_Zimbra,TA for Zimbra Open Source Edition,https://splunkbase.splunk.com/app/5704/,0.0.2#8.1|8.2|9.0|9.1|;0.0.1#8.1|8.2|9.0|9.1|
badrcm,Remote Config Manager,https://splunkbase.splunk.com/app/6277/,0.2.8#8.1|8.2|9.0|;0.2.7#8.0|8.1.2008|8.1|8.2|9.0|9.1|;0.2.3#8.0|8.1.2008|8.1|8.2|9.0|9.1|;0.2.1#8.1|8.2|9.0|9.1|;0.2.0#8.1|8.2|9.0|9.1|;0.1.6#8.1|8.2|9.0|9.1|;1.0.0#8.0|8.1.2008|8.1|8.2|9.0|9.1|;0.2.9#8.1|8.2|9.0|9.1|
insights_app_splunk,Insights App for Splunk,https://splunkbase.splunk.com/app/6489/,1.0.59#8.0|8.1.2008|8.1|8.2|9.0|;1.0.58#8.0|8.1.2008|8.1|8.2|9.0|;2.0.0#8.1|8.2|9.0|;1.0.62#8.0|8.1|8.2|9.0|9.1|;1.1.8#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.7#8.0|8.1|8.2|9.0|9.1|;1.1.6#8.0|8.1|8.2|9.0|9.1|;1.1.4#8.0|8.1|8.2|9.0|9.1|;1.1.2#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.0.54#8.0|8.1|8.2|9.0|9.1|;1.0.53#8.0|8.1|8.2|9.0|9.1|;1.1.9#8.1|8.2|9.0|9.1|;1.1.10#8.0|8.1.2008|8.1|8.2|9.0|9.1|
TA-puppet-report-viewer,Puppet Report Viewer app for Splunk,https://splunkbase.splunk.com/app/4413/,4.0.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|;4.0.0#8.0|8.1|8.2|9.0|9.1|;3.1.2#8.0|8.1|8.2|9.0|9.1|;3.1.1#8.0|8.1|8.2|9.0|9.1|;3.1.0#7.3|8.0|8.1|8.2|9.0|9.1|;3.0.3#7.3|8.0|8.1|8.2|9.0|9.1|;3.0.2#7.3|8.0|8.1|8.2|9.0|9.1|;3.0.1#7.3|8.0|8.1|8.2|9.0|9.1|
TA-cisco-thousand-eyes,Cisco ThousandEyes Add-on for Splunk,https://splunkbase.splunk.com/app/5686/,2.0.0#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.0.0#8.0|8.1.2008|8.1|8.2|9.0|9.1|;2.0.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|;3.0.0#8.0|8.1.2008|8.1|8.2|9.0|9.1|;3.0.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|
TA-cisco-threat-response,Cisco SecureX threat response - Custom Search Command,https://splunkbase.splunk.com/app/4761/,1.2.2#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.2.1#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.9#7.3|8.0|8.1|8.2|9.0|9.1|;1.1.8#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.7#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.6#7.3|8.0|8.1|8.2|9.0|9.1|;1.1.5#7.3|8.0|8.1|8.2|9.0|9.1|;1.1.4#7.3|8.0|8.1|;1.1.3#7.3|8.0|8.1|8.2|9.0|9.1|;1.1.2#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.1#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.0.0#7.3|8.0|8.1.2008|8.1|8.2|9.0|9.1|
goahead_d3_sunburst,GoAhead D3 SUNBURST,https://splunkbase.splunk.com/app/6554/,1.1.2#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.1.1#8.0|8.1.2008|8.1|8.2|9.0|9.1|;1.2.0#8.0|8.1.2008|8.1|8.2|9.0|9.1|
